Period (sec),RSN-6 SRSS pSa (g),RSN-266 SRSS pSa (g),RSN-461 SRSS pSa (g),RSN-4098 SRSS pSa (g),RSN-5823 SRSS pSa (g),RSN-6890 SRSS pSa (g),RSN-140 SRSS pSa (g),RSN-836 SRSS pSa (g),RSN-841 SRSS pSa (g),RSN-1454 SRSS pSa (g),RSN-5883 SRSS pSa (g),,,,,,,,,,,,,,,,,,,,,,
0.16,0.60144135,0.62311217,0.69067065,0.86753504,0.69414208,0.62946908,0.93742685,0.75141064,0.51384983,0.41687176,0.67040559,,,,,,,,,,,,,,,,,,,,,,
0.17,0.7332276,0.59997979,0.67356695,0.92765147,0.78330711,0.65703084,0.88278222,0.77498296,0.54897525,0.41917864,0.80549869,,,,,,,,,,,,,,,,,,,,,,
0.18,0.73318762,0.57156107,0.62291541,0.85870511,0.77560068,0.67508835,0.80531905,0.68180575,0.60055674,0.44202379,0.9116935,,,,,,,,,,,,,,,,,,,,,,
0.19,0.69535362,0.60220127,0.61086227,0.77207571,0.88284105,0.71208272,0.90843382,0.76885913,0.642038,0.45649582,0.92329638,,,,,,,,,,,,,,,,,,,,,,
0.2,0.68566929,0.62372786,0.62074398,0.79233078,0.80958757,0.69449442,0.91531819,0.81489956,0.69833471,0.44674259,0.86204183,,,,,,,,,,,,,,,,,,,,,,
0.22,0.7661394,0.78900735,0.6851816,0.82454765,0.75337542,0.78251424,0.9296213,1.01400662,0.61515636,0.50503628,0.80793989,,,,,,,,,,,,,,,,,,,,,,
0.24,0.78467762,0.73332196,0.70659717,0.75065024,0.76544876,0.72122782,1.04348348,1.0294735,0.52010693,0.56731065,0.75094033,,,,,,,,,,,,,,,,,,,,,,
0.25,0.82845099,0.72311133,0.70736422,0.72061162,0.68751334,0.76177066,0.93210159,1.0074352,0.49575219,0.56811823,0.77685702,,,,,,,,,,,,,,,,,,,,,,
0.26,0.79798614,0.72243382,0.70448765,0.69110846,0.64327615,0.82284035,0.83650469,1.09427531,0.50449571,0.50768691,0.82986098,,,,,,,,,,,,,,,,,,,,,,
0.28,0.70737512,0.64232152,0.69278583,0.65141296,0.74468704,0.89505982,0.9309662,1.00819596,0.60628741,0.51358476,1.01185816,,,,,,,,,,,,,,,,,,,,,,
0.29,0.67507832,0.61619456,0.69022601,0.64562483,0.77751408,0.85016539,0.89095707,0.88667132,0.64648905,0.55894407,1.04583578,,,,,,,,,,,,,,,,,,,,,,
0.3,0.66385412,0.70109406,0.65035833,0.63654408,0.75161679,0.76021077,0.83074125,0.7547638,0.68353559,0.59436284,1.07889646,,,,,,,,,,,,,,,,,,,,,,
0.32,0.68484659,0.78105594,0.65214863,0.60086694,0.59702875,0.60440527,0.98918619,0.88362753,0.65946315,0.61913114,1.14671433,,,,,,,,,,,,,,,,,,,,,,
0.34,0.60608814,0.87455562,0.62424264,0.57376274,0.6060614,0.58023218,0.91035569,0.81420005,0.68670235,0.59600073,1.06821918,,,,,,,,,,,,,,,,,,,,,,
0.35,0.61526228,0.85270164,0.59442329,0.56806697,0.60715754,0.60626136,0.80628398,0.76216391,0.69441077,0.61347665,0.99260426,,,,,,,,,,,,,,,,,,,,,,
0.36,0.67633707,0.81082912,0.60651658,0.56670447,0.62695847,0.64893902,0.74922234,0.73834344,0.70647095,0.64405474,0.93174307,,,,,,,,,,,,,,,,,,,,,,
0.38,0.70550923,0.74992882,0.59198429,0.57207969,0.60499024,0.65266623,0.68052195,0.70059752,0.66935646,0.6471429,0.83751575,,,,,,,,,,,,,,,,,,,,,,
0.4,0.71046664,0.69478895,0.59375774,0.58164403,0.59279604,0.7007527,0.69244091,0.74690582,0.58764806,0.68434054,0.75706656,,,,,,,,,,,,,,,,,,,,,,
0.42,0.64590941,0.71338818,0.6781216,0.59312671,0.65160882,0.77986062,0.65724844,0.81744343,0.56810661,0.76220663,0.68367686,,,,,,,,,,,,,,,,,,,,,,
0.44,0.75085163,0.74784255,0.72097895,0.61296624,0.66945178,0.82376935,0.63425603,0.84455406,0.52526275,0.77239585,0.62090539,,,,,,,,,,,,,,,,,,,,,,
0.45,0.80353578,0.71608554,0.75518103,0.62542141,0.68666394,0.84301245,0.63155893,0.8331534,0.54224814,0.76793581,0.57304178,,,,,,,,,,,,,,,,,,,,,,
0.46,0.82481484,0.66255748,0.76632134,0.63286175,0.69994051,0.85854753,0.6251689,0.80262657,0.55353058,0.75315777,0.51599148,,,,,,,,,,,,,,,,,,,,,,
