Period (sec),RSN-161 SRSS pSa (g),RSN-548 SRSS pSa (g),RSN-806 SRSS pSa (g),RSN-2507 SRSS pSa (g),RSN-4879 SRSS pSa (g),RSN-1410 SRSS pSa (g),RSN-1640 SRSS pSa (g),RSN-1810 SRSS pSa (g),RSN-1825 SRSS pSa (g),RSN-5790 SRSS pSa (g),RSN-6901 SRSS pSa (g),,,,,,,,,,,,,,,,,,,,,,
0.055,0.36732938,0.40194554,0.28675893,0.20064767,0.47470148,0.26946921,0.19507792,0.17435293,0.18739862,0.17724038,0.19621399,,,,,,,,,,,,,,,,,,,,,,
0.06,0.40145055,0.44262418,0.28726555,0.21003614,0.47270795,0.26972701,0.19542446,0.17570382,0.18722021,0.17684842,0.22291092,,,,,,,,,,,,,,,,,,,,,,
0.065,0.42374216,0.4558696,0.27926872,0.22798247,0.468491,0.26818764,0.19760784,0.1824653,0.18699785,0.17627731,0.2409461,,,,,,,,,,,,,,,,,,,,,,
0.067,0.43838079,0.4697889,0.27714983,0.23815571,0.4865734,0.26904402,0.19734263,0.18435987,0.19936962,0.17626569,0.23905321,,,,,,,,,,,,,,,,,,,,,,
0.07,0.43256441,0.53037376,0.28883797,0.2737279,0.45198148,0.26839847,0.19537568,0.18026908,0.21141713,0.17653845,0.23065535,,,,,,,,,,,,,,,,,,,,,,
0.075,0.43936156,0.59243743,0.3117069,0.28457419,0.39495165,0.26907579,0.19359552,0.1809154,0.21837039,0.17564119,0.25225918,,,,,,,,,,,,,,,,,,,,,,
0.08,0.39927241,0.62774261,0.28466911,0.24517967,0.36183935,0.26809551,0.19753635,0.19329711,0.22325034,0.17946373,0.25453995,,,,,,,,,,,,,,,,,,,,,,
0.085,0.38978034,0.70237265,0.29391104,0.2484328,0.39498527,0.26995675,0.19783067,0.20337612,0.23082127,0.18015473,0.25666899,,,,,,,,,,,,,,,,,,,,,,
0.09,0.43398521,0.72704941,0.3486657,0.25491046,0.41088879,0.27002025,0.20380858,0.20355499,0.23777965,0.18257327,0.24707206,,,,,,,,,,,,,,,,,,,,,,
0.095,0.40077284,0.65400495,0.36605439,0.28332508,0.39207977,0.27058171,0.20584451,0.21967244,0.22990562,0.18486476,0.25626547,,,,,,,,,,,,,,,,,,,,,,
